https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AR,Volume BUSD,tradecount
1695600000000,2023-09-25,ARBUSD,4.08,4.18,4.05,4.11,4545.2,18756.4045,308
1695513600000,2023-09-24,ARBUSD,4.18,4.18,4.06,4.08,10625.36,43979.8999,501
1695427200000,2023-09-23,ARBUSD,4.13,4.19,4.09,4.18,4625.66,19210.1878,445
1695340800000,2023-09-22,ARBUSD,4.15,4.2,4.08,4.13,6059.78,25138.9812,559
1695254400000,2023-09-21,ARBUSD,4.34,4.39,4.14,4.14,15058.28,63916.3418,821
1695168000000,2023-09-20,ARBUSD,4.41,4.44,4.28,4.34,10009.58,43671.3832,950
1695081600000,2023-09-19,ARBUSD,4.29,4.41,4.22,4.41,19958.03,85958.0973,1156
1694995200000,2023-09-18,ARBUSD,4.32,4.48,4.26,4.29,16645.89,72879.9085,1440
1694908800000,2023-09-17,ARBUSD,4.37,4.48,4.22,4.32,10189.51,44233.9455,1144
1694822400000,2023-09-16,ARBUSD,4.51,4.76,4.32,4.36,36166.56,163890.0615,2528
1694736000000,2023-09-15,ARBUSD,4.09,4.58,4.06,4.51,55054.14,237391.5092,2798
1694649600000,2023-09-14,ARBUSD,4.05,4.11,4.0,4.09,7300.79,29681.1249,468
1694563200000,2023-09-13,ARBUSD,3.97,4.1,3.95,4.05,8152.85,32812.3489,539
1694476800000,2023-09-12,ARBUSD,3.9,4.1,3.88,3.96,9425.72,37589.2819,689
1694390400000,2023-09-11,ARBUSD,4.04,4.09,3.82,3.9,19547.24,77168.818,1000
1694304000000,2023-09-10,ARBUSD,4.28,4.28,3.93,4.05,18898.91,76882.7903,1188
1694217600000,2023-09-09,ARBUSD,4.23,4.32,4.21,4.29,14296.25,61107.4636,517
1694131200000,2023-09-08,ARBUSD,4.33,4.36,4.16,4.21,8187.65,34565.8867,451
1694044800000,2023-09-07,ARBUSD,4.21,4.35,4.15,4.33,13773.22,58639.9943,729
1693958400000,2023-09-06,ARBUSD,4.21,4.25,4.1,4.22,6886.51,28758.231,616
1693872000000,2023-09-05,ARBUSD,4.19,4.24,4.09,4.2,6205.81,25921.7644,563
1693785600000,2023-09-04,ARBUSD,4.09,4.26,4.08,4.19,12394.78,51747.8519,782
1693699200000,2023-09-03,ARBUSD,4.14,4.16,4.03,4.09,11345.27,46546.5901,502
1693612800000,2023-09-02,ARBUSD,4.09,4.19,4.06,4.14,14780.23,61256.6513,491
1693526400000,2023-09-01,ARBUSD,4.13,4.19,4.03,4.08,5885.26,24156.7363,480
1693440000000,2023-08-31,ARBUSD,4.25,4.27,4.02,4.13,11440.74,47527.9894,613
1693353600000,2023-08-30,ARBUSD,4.41,4.41,4.23,4.26,8869.57,38252.2007,562
1693267200000,2023-08-29,ARBUSD,4.18,4.46,4.11,4.4,17922.62,77255.6954,910
1693180800000,2023-08-28,ARBUSD,4.21,4.31,4.13,4.2,7420.58,31082.2713,497
1693094400000,2023-08-27,ARBUSD,4.19,4.24,4.14,4.2,8475.62,35485.4605,321
1693008000000,2023-08-26,ARBUSD,4.17,4.25,4.16,4.18,13419.74,56391.5623,545
1692921600000,2023-08-25,ARBUSD,4.16,4.2,3.99,4.17,33374.23,136026.4377,1403
1692835200000,2023-08-24,ARBUSD,4.42,4.42,4.09,4.17,27151.79,114773.6945,937
1692748800000,2023-08-23,ARBUSD,4.38,4.49,4.31,4.43,14578.23,64303.3163,696
1692662400000,2023-08-22,ARBUSD,4.4,4.45,4.16,4.38,20366.67,87766.9126,1024
1692576000000,2023-08-21,ARBUSD,4.49,4.55,4.31,4.39,20199.32,89525.253,936
1692489600000,2023-08-20,ARBUSD,4.44,4.63,4.38,4.5,29924.17,134766.2077,1268
1692403200000,2023-08-19,ARBUSD,4.32,4.47,4.24,4.45,62545.54,271515.7522,2767
1692316800000,2023-08-18,ARBUSD,4.71,4.93,4.25,4.3,78492.8,351967.1499,3350
1692230400000,2023-08-17,ARBUSD,4.86,5.17,4.22,4.68,63499.81,298847.3406,3358
1692144000000,2023-08-16,ARBUSD,5.18,5.22,4.75,4.87,29991.14,150040.6,1602
1692057600000,2023-08-15,ARBUSD,5.4,5.4,4.95,5.17,30020.5,157699.2921,1269
1691971200000,2023-08-14,ARBUSD,5.22,5.43,4.97,5.4,74823.51,389406.0223,2470
1691884800000,2023-08-13,ARBUSD,5.2,5.35,5.17,5.23,26868.93,141284.5403,1034
1691798400000,2023-08-12,ARBUSD,4.93,5.2,4.92,5.18,33405.72,170276.2833,1096
1691712000000,2023-08-11,ARBUSD,5.02,5.03,4.87,4.93,28146.51,139103.5562,1331
1691625600000,2023-08-10,ARBUSD,5.29,5.3,5.0,5.02,19974.03,102286.0805,791
1691539200000,2023-08-09,ARBUSD,5.26,5.34,5.19,5.29,16421.09,86228.9063,676
1691452800000,2023-08-08,ARBUSD,5.18,5.37,5.18,5.26,8897.76,46938.8705,437
1691366400000,2023-08-07,ARBUSD,5.23,5.3,5.1,5.19,11400.11,59366.0115,632
1691280000000,2023-08-06,ARBUSD,5.27,5.41,5.21,5.21,12197.88,64651.6121,562
1691193600000,2023-08-05,ARBUSD,5.2,5.3,5.16,5.27,5587.13,29108.4574,217
1691107200000,2023-08-04,ARBUSD,5.28,5.35,5.17,5.21,4834.35,25378.1526,316
