https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ATOM,Volume USDT,tradecount
1772236800000,2026-02-28,ATOMUSDT,1.85,1.862,1.767,1.849,2286622.78,4139042.52611,31597
1772150400000,2026-02-27,ATOMUSDT,1.88,1.941,1.817,1.849,2257799.19,4249393.50471,29819
1772064000000,2026-02-26,ATOMUSDT,1.941,1.984,1.825,1.879,4041871.07,7669372.02106,52402
1771977600000,2026-02-25,ATOMUSDT,1.993,2.12,1.928,1.942,4359402.37,8873822.83264,68272
1771891200000,2026-02-24,ATOMUSDT,2.12,2.148,1.98,1.992,1628456.56,3337675.32727,27429
1771804800000,2026-02-23,ATOMUSDT,2.25,2.255,2.112,2.12,2000572.46,4381927.61757,34911
1771718400000,2026-02-22,ATOMUSDT,2.314,2.319,2.23,2.25,1016411.11,2309561.88071,16595
1771632000000,2026-02-21,ATOMUSDT,2.358,2.413,2.306,2.314,1111050.32,2634161.41872,21414
1771545600000,2026-02-20,ATOMUSDT,2.291,2.392,2.258,2.358,1847571.79,4315158.36621,36746
1771459200000,2026-02-19,ATOMUSDT,2.346,2.367,2.267,2.292,1811232.89,4192939.51601,37321
1771372800000,2026-02-18,ATOMUSDT,2.241,2.512,2.212,2.346,3728704.61,8833440.00092,71519
1771286400000,2026-02-17,ATOMUSDT,2.294,2.332,2.223,2.242,2117552.03,4814048.10852,40208
1771200000000,2026-02-16,ATOMUSDT,2.138,2.322,2.113,2.292,2766288.69,6126603.48485,44486
1771113600000,2026-02-15,ATOMUSDT,2.186,2.225,2.096,2.137,1282038.56,2756242.59317,26793
1771027200000,2026-02-14,ATOMUSDT,2.122,2.221,2.11,2.186,749230.49,1617392.19394,16952
1770940800000,2026-02-13,ATOMUSDT,1.968,2.129,1.953,2.122,1446322.64,2946032.41572,22694
1770854400000,2026-02-12,ATOMUSDT,1.946,2.017,1.929,1.968,1291115.88,2545194.63125,24887
1770768000000,2026-02-11,ATOMUSDT,1.923,2.009,1.874,1.945,1786589.62,3436837.65064,30996
1770681600000,2026-02-10,ATOMUSDT,1.96,1.974,1.895,1.922,995814.08,1917763.04777,20925
1770595200000,2026-02-09,ATOMUSDT,1.95,1.985,1.902,1.96,1220117.12,2377314.48201,23924
1770508800000,2026-02-08,ATOMUSDT,1.99,2.001,1.931,1.95,1110155.91,2189047.05577,19422
1770422400000,2026-02-07,ATOMUSDT,1.987,2.05,1.929,1.989,2213890.07,4424862.55824,45176
1770336000000,2026-02-06,ATOMUSDT,1.819,2.016,1.654,1.987,4164696.0,7662613.01812,71713
1770249600000,2026-02-05,ATOMUSDT,1.995,2.057,1.77,1.819,5771706.55,11106687.27145,95441
1770163200000,2026-02-04,ATOMUSDT,2.034,2.106,1.976,1.995,3134460.5,6407092.55239,41785
1770076800000,2026-02-03,ATOMUSDT,1.982,2.053,1.889,2.036,2205203.71,4379986.58213,28735
1769990400000,2026-02-02,ATOMUSDT,1.913,2.007,1.864,1.982,1538111.29,2980166.18417,30958
1769904000000,2026-02-01,ATOMUSDT,1.972,1.993,1.874,1.91,1626128.34,3156599.22315,30539
1769817600000,2026-01-31,ATOMUSDT,2.113,2.116,1.81,1.971,2472219.26,4862233.54857,48688
1769731200000,2026-01-30,ATOMUSDT,2.128,2.135,2.051,2.112,1370453.56,2868496.16852,25986
1769644800000,2026-01-29,ATOMUSDT,2.238,2.242,2.077,2.128,1586179.01,3403744.17299,25569
1769558400000,2026-01-28,ATOMUSDT,2.244,2.303,2.219,2.237,2112013.52,4763019.22425,27817
1769472000000,2026-01-27,ATOMUSDT,2.223,2.27,2.183,2.244,1366942.63,3035766.90594,19775
1769385600000,2026-01-26,ATOMUSDT,2.237,2.314,2.21,2.222,1523084.26,3429327.90623,25134
1769299200000,2026-01-25,ATOMUSDT,2.333,2.337,2.201,2.236,1237802.86,2798942.74481,22577
1769212800000,2026-01-24,ATOMUSDT,2.368,2.387,2.293,2.334,776424.72,1817609.41096,14513
1769126400000,2026-01-23,ATOMUSDT,2.336,2.419,2.33,2.368,1139393.52,2702605.6166,23753
1769040000000,2026-01-22,ATOMUSDT,2.382,2.44,2.327,2.335,1011233.29,2403134.72635,21683
1768953600000,2026-01-21,ATOMUSDT,2.295,2.453,2.293,2.382,3264710.58,7786091.07946,53238
1768780800000,2026-01-19,ATOMUSDT,2.426,2.485,2.231,2.456,2539417.73,6025579.18481,47636
1768694400000,2026-01-18,ATOMUSDT,2.568,2.595,2.422,2.426,1204661.12,3022850.47013,20864
1768608000000,2026-01-17,ATOMUSDT,2.493,2.601,2.489,2.567,1071340.88,2738003.653,18956
1768521600000,2026-01-16,ATOMUSDT,2.477,2.508,2.427,2.494,1227538.35,3033899.69122,19158
1768435200000,2026-01-15,ATOMUSDT,2.583,2.599,2.443,2.477,1396375.72,3514364.82857,25174
1768348800000,2026-01-14,ATOMUSDT,2.635,2.697,2.568,2.582,1944437.61,5130092.07684,35604
1768262400000,2026-01-13,ATOMUSDT,2.486,2.678,2.485,2.636,1662177.48,4304497.23603,46744
1768176000000,2026-01-12,ATOMUSDT,2.573,2.656,2.478,2.487,1665083.44,4286425.99715,43574
1768089600000,2026-01-11,ATOMUSDT,2.569,2.642,2.556,2.574,1411131.47,3673394.8009,31900
1768003200000,2026-01-10,ATOMUSDT,2.592,2.682,2.545,2.57,2409345.57,6280194.68454,51188
1767916800000,2026-01-09,ATOMUSDT,2.463,2.654,2.411,2.592,3177422.24,8011172.49938,57445
1767744000000,2026-01-07,ATOMUSDT,2.531,2.535,2.394,2.433,2234064.05,5450522.85344,33109
1767657600000,2026-01-06,ATOMUSDT,2.37,2.55,2.352,2.532,2297088.48,5622664.29947,37244
1767571200000,2026-01-05,ATOMUSDT,2.341,2.391,2.264,2.369,1800750.23,4200451.83771,24337
1767484800000,2026-01-04,ATOMUSDT,2.24,2.348,2.23,2.34,1987686.01,4570439.93089,25764
1767398400000,2026-01-03,ATOMUSDT,2.168,2.26,2.167,2.239,1536274.01,3405602.86443,21374
1767312000000,2026-01-02,ATOMUSDT,2.069,2.17,2.059,2.168,1496421.58,3172344.42168,20197
1767225600000,2026-01-01,ATOMUSDT,1.93,2.079,1.92,2.069,1309209.82,2607691.96194,15203
1767139200000,2025-12-31,ATOMUSDT,1.967,1.985,1.907,1.93,831184.17,1621069.87646,14195
1767052800000,2025-12-30,ATOMUSDT,1.965,2.001,1.956,1.967,1265741.86,2502211.93924,19977
1766966400000,2025-12-29,ATOMUSDT,2.075,2.103,1.959,1.965,1893871.08,3843081.05629,29253
