https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ENJ,Volume USDT,tradecount
1773619200000,2026-03-16,ENJUSDT,0.01858,0.01934,0.01847,0.01929,17367661.1,328476.138465,8699
1773532800000,2026-03-15,ENJUSDT,0.01837,0.01864,0.01825,0.01854,9993230.0,183903.535303,6665
1773446400000,2026-03-14,ENJUSDT,0.01838,0.01864,0.01814,0.01836,13631717.4,249911.409273,6419
1773360000000,2026-03-13,ENJUSDT,0.01842,0.01899,0.01832,0.01838,18828169.9,350743.135617,5884
1773273600000,2026-03-12,ENJUSDT,0.01855,0.0187,0.01813,0.0184,12912962.7,237597.599371,4802
1773187200000,2026-03-11,ENJUSDT,0.018,0.01923,0.0177,0.01855,32652782.0,607306.564956,9337
1773100800000,2026-03-10,ENJUSDT,0.0179,0.01851,0.01777,0.01799,13229680.1,239023.703413,6179
1773014400000,2026-03-09,ENJUSDT,0.0178,0.01868,0.01779,0.01789,14352176.7,260764.205255,4868
1772928000000,2026-03-08,ENJUSDT,0.01769,0.01808,0.01736,0.0178,13635118.0,239580.010274,5769
1772841600000,2026-03-07,ENJUSDT,0.01841,0.01844,0.01755,0.01769,10675952.7,191601.673244,6107
1772755200000,2026-03-06,ENJUSDT,0.01892,0.01917,0.0181,0.01839,11323269.0,210957.138152,4929
1772668800000,2026-03-05,ENJUSDT,0.01933,0.0194,0.01874,0.01891,9210121.1,176005.58404,4940
1772582400000,2026-03-04,ENJUSDT,0.01899,0.01987,0.01848,0.01934,16858538.4,321113.764701,8467
1772496000000,2026-03-03,ENJUSDT,0.0197,0.0199,0.01885,0.01899,14804940.6,285865.267481,5921
1772409600000,2026-03-02,ENJUSDT,0.01904,0.01974,0.01854,0.0197,13460349.3,258468.360485,5005
1772323200000,2026-03-01,ENJUSDT,0.01979,0.02029,0.01869,0.01903,9289737.9,181707.5408,4740
1772236800000,2026-02-28,ENJUSDT,0.01991,0.01993,0.0184,0.01977,11903665.8,226824.795114,5603
1772150400000,2026-02-27,ENJUSDT,0.01993,0.02036,0.01958,0.01993,15326152.3,304507.134607,8401
1772064000000,2026-02-26,ENJUSDT,0.0202,0.02032,0.01927,0.01992,14728349.8,293078.066421,6586
1771977600000,2026-02-25,ENJUSDT,0.01923,0.02081,0.0192,0.0202,39371549.0,797656.106816,10591
1771891200000,2026-02-24,ENJUSDT,0.01871,0.02002,0.01815,0.01922,25191192.2,482682.551761,8123
1771804800000,2026-02-23,ENJUSDT,0.01957,0.01965,0.01842,0.0187,12173609.1,231445.847488,5899
1771718400000,2026-02-22,ENJUSDT,0.02016,0.02023,0.01941,0.01958,8287607.8,163575.224753,3929
1771632000000,2026-02-21,ENJUSDT,0.02026,0.02118,0.02008,0.02015,18107309.8,375666.001504,6422
1771545600000,2026-02-20,ENJUSDT,0.01982,0.0205,0.01927,0.02028,18094947.7,360532.787377,6007
1771459200000,2026-02-19,ENJUSDT,0.0204,0.02057,0.01968,0.01982,14695190.6,294330.278338,6595
1771372800000,2026-02-18,ENJUSDT,0.02147,0.02172,0.02025,0.02039,31980322.6,669703.755406,7566
1771286400000,2026-02-17,ENJUSDT,0.02161,0.02174,0.02104,0.02145,11294880.9,241250.7703,4279
1771200000000,2026-02-16,ENJUSDT,0.02164,0.02189,0.02067,0.0216,31894233.3,676443.615183,11196
1771113600000,2026-02-15,ENJUSDT,0.02267,0.02288,0.02106,0.02163,23309039.1,512138.464723,7700
1771027200000,2026-02-14,ENJUSDT,0.02212,0.02283,0.02178,0.02269,16351533.6,364706.239276,5914
1770940800000,2026-02-13,ENJUSDT,0.02181,0.02229,0.02018,0.02211,33049636.0,696684.725796,9825
1770854400000,2026-02-12,ENJUSDT,0.02295,0.02313,0.02104,0.02183,39781425.6,866060.985307,11821
1770768000000,2026-02-11,ENJUSDT,0.02219,0.02362,0.02124,0.02299,17586340.0,391019.803185,6522
1770681600000,2026-02-10,ENJUSDT,0.02284,0.02289,0.02179,0.0222,13111049.2,293143.603362,4844
1770595200000,2026-02-09,ENJUSDT,0.02268,0.02367,0.02253,0.0228,16379238.9,378320.676454,7220
1770508800000,2026-02-08,ENJUSDT,0.02353,0.02353,0.02243,0.02267,7942811.8,182935.423907,4353
1770422400000,2026-02-07,ENJUSDT,0.02286,0.0236,0.02211,0.02354,14076269.5,322648.255249,6444
1770336000000,2026-02-06,ENJUSDT,0.02028,0.02342,0.01835,0.02289,27319751.8,577688.946996,11919
1770249600000,2026-02-05,ENJUSDT,0.02353,0.02363,0.01989,0.02023,35933126.5,776783.955653,16484
1770163200000,2026-02-04,ENJUSDT,0.02423,0.02502,0.02297,0.02351,17583355.1,422660.02406,9470
1770076800000,2026-02-03,ENJUSDT,0.0241,0.02529,0.02271,0.02425,24905711.4,596599.810815,7400
1769990400000,2026-02-02,ENJUSDT,0.0238,0.0244,0.023,0.02408,22687769.1,542482.24263,12177
1769904000000,2026-02-01,ENJUSDT,0.02457,0.02494,0.02332,0.02377,15791649.1,384589.253495,10138
1769817600000,2026-01-31,ENJUSDT,0.02699,0.02725,0.0226,0.02456,28215732.4,696652.943663,11644
1769731200000,2026-01-30,ENJUSDT,0.02702,0.02841,0.02554,0.02699,58774387.2,1575385.612843,18067
1769644800000,2026-01-29,ENJUSDT,0.02713,0.03244,0.02623,0.02704,200854355.4,5824278.349032,87475
1769558400000,2026-01-28,ENJUSDT,0.02782,0.02785,0.02686,0.02708,7987521.7,217810.806549,3539
1769472000000,2026-01-27,ENJUSDT,0.02794,0.02812,0.02709,0.02782,8472513.7,233193.172606,4002
1769385600000,2026-01-26,ENJUSDT,0.02741,0.02827,0.02709,0.02792,12942109.5,356770.717306,5358
1769299200000,2026-01-25,ENJUSDT,0.0299,0.02995,0.02715,0.02737,26766675.2,761222.709391,9155
1769212800000,2026-01-24,ENJUSDT,0.03064,0.03077,0.02967,0.02992,6712118.4,202670.537646,2952
1769126400000,2026-01-23,ENJUSDT,0.03103,0.03276,0.03033,0.03064,16835884.2,529942.601469,7700
1769040000000,2026-01-22,ENJUSDT,0.03016,0.03215,0.02992,0.03105,30407248.9,948018.662083,25301
1768953600000,2026-01-21,ENJUSDT,0.02961,0.03125,0.02886,0.03015,20535148.3,619454.033341,10218
1768780800000,2026-01-19,ENJUSDT,0.03184,0.03184,0.02879,0.03062,26999448.4,826803.645631,21367
1768694400000,2026-01-18,ENJUSDT,0.03422,0.03485,0.03183,0.03185,29017161.0,973089.960876,15740
1768608000000,2026-01-17,ENJUSDT,0.03247,0.03759,0.03205,0.03426,125577138.6,4358891.464141,48845
1768521600000,2026-01-16,ENJUSDT,0.02978,0.03285,0.0293,0.03242,18846104.1,583038.554103,6986
1768435200000,2026-01-15,ENJUSDT,0.03147,0.03184,0.02949,0.02978,10466428.3,322198.835585,4753
1768348800000,2026-01-14,ENJUSDT,0.03198,0.03255,0.03114,0.03146,26052636.7,829977.213664,8265
1768262400000,2026-01-13,ENJUSDT,0.02916,0.0325,0.02916,0.03194,19534066.3,605887.225348,7970
