https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume SAND,Volume USDT,tradecount
1775174400000,2026-04-03,SANDUSDT,0.0735,0.0777,0.0734,0.0768,13341682.0,1020138.8674,9276
1775088000000,2026-04-02,SANDUSDT,0.0769,0.0776,0.0726,0.0735,18466376.0,1369531.089,11024
1775001600000,2026-04-01,SANDUSDT,0.0756,0.0791,0.0756,0.0768,16133814.0,1252207.3686,13203
1774915200000,2026-03-31,SANDUSDT,0.0738,0.0759,0.0729,0.0757,9829624.0,727986.2352,5705
1774828800000,2026-03-30,SANDUSDT,0.0722,0.0759,0.072,0.0737,11929304.0,885354.6658,7092
1774742400000,2026-03-29,SANDUSDT,0.0734,0.0739,0.0702,0.0721,17136142.0,1247118.0983,7440
1774656000000,2026-03-28,SANDUSDT,0.0735,0.0756,0.0717,0.0734,14303549.0,1056188.2012,7391
1774569600000,2026-03-27,SANDUSDT,0.0769,0.0777,0.0726,0.0734,23688078.0,1763953.4737,14313
1774483200000,2026-03-26,SANDUSDT,0.0817,0.0818,0.0763,0.0769,14912472.0,1169310.1998,8719
1774310400000,2026-03-24,SANDUSDT,0.0812,0.0823,0.0792,0.0818,15694151.0,1264150.2586,8699
1774224000000,2026-03-23,SANDUSDT,0.0769,0.0825,0.0764,0.0811,19636877.0,1560458.7021,11418
1773878400000,2026-03-19,SANDUSDT,0.0841,0.0849,0.0804,0.0815,10355524.0,851974.5255,8409
1773792000000,2026-03-18,SANDUSDT,0.0884,0.0913,0.0824,0.0841,18203626.0,1580638.9367,17618
1773705600000,2026-03-17,SANDUSDT,0.09,0.0908,0.0871,0.0883,12706914.0,1126349.7262,9215
1773619200000,2026-03-16,SANDUSDT,0.085,0.0906,0.0845,0.09,18229829.0,1600881.5634,20441
1773532800000,2026-03-15,SANDUSDT,0.0824,0.0857,0.0818,0.085,10419489.0,869913.0599,5335
1773446400000,2026-03-14,SANDUSDT,0.0843,0.085,0.0814,0.0825,10952162.0,906583.4811,6144
1773360000000,2026-03-13,SANDUSDT,0.0826,0.0872,0.0825,0.0843,17099096.0,1452019.7756,10338
1773273600000,2026-03-12,SANDUSDT,0.0827,0.0831,0.0806,0.0826,8043065.0,657798.4435,4252
1773187200000,2026-03-11,SANDUSDT,0.0813,0.0845,0.0801,0.0825,13671628.0,1127821.2469,8944
1773100800000,2026-03-10,SANDUSDT,0.0806,0.0844,0.0804,0.0813,10264736.0,843986.8118,4753
1773014400000,2026-03-09,SANDUSDT,0.0778,0.0833,0.0776,0.0806,11239246.0,901120.3242,5716
1772928000000,2026-03-08,SANDUSDT,0.0791,0.0803,0.0769,0.0776,13215565.0,1037266.3742,5462
1772841600000,2026-03-07,SANDUSDT,0.081,0.0817,0.0781,0.0791,9531614.0,760383.5298,4330
1772755200000,2026-03-06,SANDUSDT,0.0843,0.0855,0.0796,0.0808,14186268.0,1166089.9242,7024
1772668800000,2026-03-05,SANDUSDT,0.0867,0.0874,0.0822,0.0843,15373523.0,1311969.3575,7906
1772582400000,2026-03-04,SANDUSDT,0.0841,0.0894,0.0828,0.0867,19623666.0,1690098.3762,9014
1772496000000,2026-03-03,SANDUSDT,0.0851,0.086,0.0816,0.084,16606012.0,1393085.6961,8804
1772409600000,2026-03-02,SANDUSDT,0.0826,0.0886,0.0814,0.0851,16020640.0,1361934.7838,15247
1772323200000,2026-03-01,SANDUSDT,0.0845,0.0877,0.0805,0.0825,17076843.0,1434433.8559,12251
1772236800000,2026-02-28,SANDUSDT,0.0836,0.0854,0.0774,0.0844,24317759.0,1941366.9456,15101
1772150400000,2026-02-27,SANDUSDT,0.0851,0.0882,0.0818,0.0837,18189156.0,1556259.0539,22070
1772064000000,2026-02-26,SANDUSDT,0.0881,0.0886,0.0822,0.0851,16049809.0,1370510.5804,13603
1771977600000,2026-02-25,SANDUSDT,0.078,0.0935,0.0777,0.0882,33401148.0,2907316.9485,33130
1771891200000,2026-02-24,SANDUSDT,0.0787,0.0801,0.0772,0.0781,11835173.0,928469.4697,5387
