https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UNI,Volume USDT,tradecount
1771891200000,2026-02-24,UNIUSDT,3.348,3.403,3.259,3.337,3898719.29,12991588.07185,85259
1771804800000,2026-02-23,UNIUSDT,3.491,3.566,3.275,3.349,5365954.18,18176405.8675,125256
1771718400000,2026-02-22,UNIUSDT,3.609,3.63,3.433,3.491,2653845.35,9364402.42371,53892
1771632000000,2026-02-21,UNIUSDT,3.492,3.694,3.468,3.609,3534998.41,12768984.01944,73924
1771545600000,2026-02-20,UNIUSDT,3.391,3.498,3.309,3.492,4378014.48,14949383.6689,98136
1771459200000,2026-02-19,UNIUSDT,3.403,3.468,3.293,3.391,3946751.79,13345370.43718,66122
1771372800000,2026-02-18,UNIUSDT,3.525,3.607,3.349,3.403,3552277.44,12369357.76418,69140
1771286400000,2026-02-17,UNIUSDT,3.602,3.632,3.452,3.524,2826275.93,10022123.90458,65621
1771200000000,2026-02-16,UNIUSDT,3.471,3.628,3.424,3.601,4219826.59,14868020.55263,83977
1771113600000,2026-02-15,UNIUSDT,3.628,3.678,3.397,3.471,5203892.97,18472144.36073,111018
1771027200000,2026-02-14,UNIUSDT,3.398,3.739,3.378,3.629,8315869.41,29402549.39577,141335
1770940800000,2026-02-13,UNIUSDT,3.246,3.495,3.208,3.398,6836626.29,22986704.55189,126372
1770854400000,2026-02-12,UNIUSDT,3.37,3.498,3.142,3.247,11620693.63,39003258.54956,211070
1770768000000,2026-02-11,UNIUSDT,3.361,4.588,3.223,3.369,28491602.0,109391004.02503,747487
1770681600000,2026-02-10,UNIUSDT,3.493,3.499,3.318,3.36,2120911.96,7161798.34794,47657
1770595200000,2026-02-09,UNIUSDT,3.468,3.583,3.309,3.493,3174894.62,10944767.43641,71420
1770508800000,2026-02-08,UNIUSDT,3.538,3.553,3.437,3.468,2182384.93,7644892.81145,51513
1770422400000,2026-02-07,UNIUSDT,3.551,3.628,3.431,3.539,5565279.65,19692456.38017,128527
1770336000000,2026-02-06,UNIUSDT,3.168,3.632,2.845,3.552,13455347.44,43518282.94861,314897
1770249600000,2026-02-05,UNIUSDT,3.801,3.838,3.125,3.168,14783565.92,50486171.57515,343638
1770163200000,2026-02-04,UNIUSDT,3.86,3.963,3.641,3.801,6284057.4,23890175.30724,142320
1770076800000,2026-02-03,UNIUSDT,3.926,4.026,3.698,3.86,6113783.63,23711267.51232,142239
1769990400000,2026-02-02,UNIUSDT,3.838,3.999,3.704,3.925,5674629.39,21985462.93947,151198
1769904000000,2026-02-01,UNIUSDT,3.961,4.029,3.752,3.837,6256562.2,24334877.9197,132615
1769817600000,2026-01-31,UNIUSDT,4.277,4.307,3.6,3.96,9187744.74,36043896.44008,207178
1769731200000,2026-01-30,UNIUSDT,4.395,4.418,4.141,4.276,6418117.34,27383101.60182,145466
1769644800000,2026-01-29,UNIUSDT,4.821,4.834,4.286,4.396,4641550.98,20878110.87447,106906
1769558400000,2026-01-28,UNIUSDT,4.801,4.878,4.753,4.82,1968357.14,9487187.88538,58095
1769472000000,2026-01-27,UNIUSDT,4.712,4.816,4.631,4.8,2549844.61,12019262.51727,66625
1769385600000,2026-01-26,UNIUSDT,4.636,4.76,4.487,4.711,5272135.75,24426672.38209,112438
1769299200000,2026-01-25,UNIUSDT,4.854,4.895,4.562,4.637,3331646.52,15728470.94959,77084
1769212800000,2026-01-24,UNIUSDT,4.872,4.915,4.828,4.855,835317.66,4072172.68126,17008
1769126400000,2026-01-23,UNIUSDT,4.837,4.984,4.769,4.873,1894787.41,9232739.65557,55875
