https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MANA,Volume USDT,tradecount
1772150400000,2026-02-27,MANAUSDT,0.097,0.101,0.0944,0.0963,5562534.0,545352.457,9710
1772064000000,2026-02-26,MANAUSDT,0.1,0.1007,0.0938,0.097,6210480.0,605068.2707,8111
1771977600000,2026-02-25,MANAUSDT,0.0897,0.1041,0.0892,0.1001,12555426.0,1220407.4366,12700
1771891200000,2026-02-24,MANAUSDT,0.0913,0.0928,0.0885,0.0897,7149233.0,646325.5449,8194
1771804800000,2026-02-23,MANAUSDT,0.0949,0.0954,0.0891,0.0912,10728929.0,987305.3236,13237
1771718400000,2026-02-22,MANAUSDT,0.0974,0.0974,0.0933,0.0948,2851689.0,271015.6889,3774
1771632000000,2026-02-21,MANAUSDT,0.0985,0.1007,0.0971,0.0973,4656951.0,461922.1807,6611
1771545600000,2026-02-20,MANAUSDT,0.0964,0.0991,0.0945,0.0987,4651786.0,453070.0274,7007
1771459200000,2026-02-19,MANAUSDT,0.0981,0.0989,0.0941,0.0965,4299348.0,415039.9938,7309
1771372800000,2026-02-18,MANAUSDT,0.1012,0.1026,0.0977,0.0982,3536863.0,355197.7202,5136
1771286400000,2026-02-17,MANAUSDT,0.1026,0.1033,0.099,0.1011,2947379.0,298557.9148,3060
1771200000000,2026-02-16,MANAUSDT,0.1025,0.1039,0.0997,0.1029,4016649.0,409815.4335,4114
1771113600000,2026-02-15,MANAUSDT,0.1081,0.109,0.1013,0.1026,6455084.0,677044.3835,7972
1771027200000,2026-02-14,MANAUSDT,0.1025,0.1091,0.1015,0.1081,5654146.0,596444.1817,5642
1770940800000,2026-02-13,MANAUSDT,0.0993,0.1028,0.0965,0.1025,9593267.0,956214.152,7279
1770854400000,2026-02-12,MANAUSDT,0.0978,0.1024,0.0972,0.0993,7808649.0,777113.2712,8023
1770768000000,2026-02-11,MANAUSDT,0.0992,0.1001,0.094,0.0978,6151150.0,598116.6922,7210
1770681600000,2026-02-10,MANAUSDT,0.1016,0.1027,0.098,0.0992,5316479.0,531288.2906,5729
1770595200000,2026-02-09,MANAUSDT,0.1015,0.1046,0.0977,0.1017,7403097.0,748965.4766,9663
1770508800000,2026-02-08,MANAUSDT,0.1058,0.1059,0.0997,0.1016,6233700.0,640481.2394,8627
1770422400000,2026-02-07,MANAUSDT,0.1022,0.1089,0.0987,0.1059,13740616.0,1437145.8798,17880
1770336000000,2026-02-06,MANAUSDT,0.0913,0.1056,0.0814,0.1022,18996324.0,1777508.6924,19214
1770249600000,2026-02-05,MANAUSDT,0.1097,0.1107,0.09,0.0912,19402736.0,1919064.7413,29096
1770163200000,2026-02-04,MANAUSDT,0.1112,0.1144,0.1068,0.1097,6739710.0,745940.5426,10899
1770076800000,2026-02-03,MANAUSDT,0.114,0.1165,0.1059,0.1113,10692671.0,1195704.842,12875
1769990400000,2026-02-02,MANAUSDT,0.1121,0.1168,0.1085,0.114,9161527.0,1034088.4271,12831
