https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume YFI,Volume USDT,tradecount
1777161600000,2026-04-26,YFIUSDT,2742.0,2778.0,2715.0,2763.0,90.95724,250167.68571,3873
1777075200000,2026-04-25,YFIUSDT,2728.0,2786.0,2716.0,2742.0,105.88673,291398.24809,3924
1776988800000,2026-04-24,YFIUSDT,2752.0,2773.0,2687.0,2728.0,175.14848,475702.14199,4734
1776902400000,2026-04-23,YFIUSDT,2803.0,2808.0,2726.0,2752.0,197.09239,543747.64682,3403
1776816000000,2026-04-22,YFIUSDT,2801.0,2883.0,2783.0,2805.0,139.08099,395502.82566,2518
1776729600000,2026-04-21,YFIUSDT,2757.0,2817.0,2740.0,2800.0,129.79323,361185.47688,2626
1776643200000,2026-04-20,YFIUSDT,2625.0,2857.0,2619.0,2753.0,292.69723,810460.68695,7050
1776556800000,2026-04-19,YFIUSDT,2700.0,2735.0,2624.0,2627.0,185.26548,497203.77781,6996
1776470400000,2026-04-18,YFIUSDT,2783.0,2792.0,2669.0,2700.0,175.65496,479780.36036,4457
1776384000000,2026-04-17,YFIUSDT,2745.0,2800.0,2702.0,2786.0,305.30442,846961.70776,4966
1776297600000,2026-04-16,YFIUSDT,2691.0,2750.0,2635.0,2745.0,205.87071,553870.11611,5109
1776038400000,2026-04-13,YFIUSDT,2504.0,2611.0,2486.0,2603.0,112.38149,283767.49506,2684
1775952000000,2026-04-12,YFIUSDT,2558.0,2567.0,2503.0,2505.0,77.29116,195370.15442,1878
1775865600000,2026-04-11,YFIUSDT,2588.0,2597.0,2527.0,2565.0,72.85676,187069.803,1871
1775779200000,2026-04-10,YFIUSDT,2516.0,2596.0,2488.0,2584.0,107.67576,273614.67054,2858
1775692800000,2026-04-09,YFIUSDT,2502.0,2550.0,2474.0,2514.0,99.94493,250070.93751,2158
1775606400000,2026-04-08,YFIUSDT,2555.0,2565.0,2491.0,2501.0,90.42062,229351.32291,1779
1775520000000,2026-04-07,YFIUSDT,2455.0,2565.0,2408.0,2553.0,101.6468,249913.53656,2361
1775433600000,2026-04-06,YFIUSDT,2426.0,2531.0,2426.0,2458.0,200.61993,498746.4686,3942
1775347200000,2026-04-05,YFIUSDT,2478.0,2479.0,2394.0,2427.0,80.37802,194976.19161,2483
1775260800000,2026-04-04,YFIUSDT,2466.0,2484.0,2440.0,2476.0,57.23506,140993.76141,1519
1775174400000,2026-04-03,YFIUSDT,2414.0,2491.0,2407.0,2466.0,114.94509,282533.2319,2413
1775088000000,2026-04-02,YFIUSDT,2456.0,2479.0,2364.0,2415.0,192.89849,463110.88345,4472
