https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MKR,Volume USDT,tradecount
1754870400000,2025-08-11,MKRUSDT,2092.3,2121.7,1980.1,2005.0,3455.2134,7117370.10824,115166
1754784000000,2025-08-10,MKRUSDT,2093.0,2120.6,2044.5,2092.2,2666.6219,5559583.61265,82828
1754697600000,2025-08-09,MKRUSDT,2015.2,2143.8,2010.9,2092.9,3499.2809,7296571.12786,91970
1754611200000,2025-08-08,MKRUSDT,1992.9,2065.8,1932.3,2015.0,6318.2982,12605930.32719,195445
1754524800000,2025-08-07,MKRUSDT,1927.4,2009.6,1903.4,1993.5,3964.7541,7782758.57057,112880
1754438400000,2025-08-06,MKRUSDT,1814.7,1933.0,1773.7,1927.4,4217.5939,7810484.60279,115879
1754352000000,2025-08-05,MKRUSDT,1967.2,1972.3,1804.8,1814.8,5053.1876,9489761.4135,136818
1754265600000,2025-08-04,MKRUSDT,1888.9,1977.5,1883.1,1967.2,3137.1386,6057337.88335,86809
1754179200000,2025-08-03,MKRUSDT,1842.4,1901.4,1828.1,1888.9,1819.7171,3403164.95741,49849
1754092800000,2025-08-02,MKRUSDT,1904.7,1921.6,1821.5,1842.2,2787.0052,5200867.22478,87996
1754006400000,2025-08-01,MKRUSDT,1976.4,1995.0,1854.0,1904.7,4604.2694,8839340.46729,166209
1753920000000,2025-07-31,MKRUSDT,2053.7,2084.9,1960.0,1976.5,5947.4893,11949126.26797,131830
1753833600000,2025-07-30,MKRUSDT,2053.9,2098.9,1949.2,2053.6,3686.3234,7501257.15604,111983
1753747200000,2025-07-29,MKRUSDT,2166.9,2176.6,1983.9,2053.9,6700.845,13878624.27342,133800
1753660800000,2025-07-28,MKRUSDT,2318.9,2398.8,2149.5,2167.3,6428.1117,14648837.3418,146277
1753574400000,2025-07-27,MKRUSDT,2282.9,2360.9,2250.0,2318.7,3449.9116,7940822.9815,98808
1753488000000,2025-07-26,MKRUSDT,2212.0,2299.4,2210.5,2283.2,4414.0003,9976299.05191,105965
1753401600000,2025-07-25,MKRUSDT,2013.6,2255.8,1976.2,2211.9,11010.3374,23416451.83036,237125
1753315200000,2025-07-24,MKRUSDT,2034.9,2085.0,1896.7,2013.1,8185.3547,16509678.98493,231916
1753228800000,2025-07-23,MKRUSDT,2079.0,2103.1,1971.3,2034.6,7413.0263,15054223.62593,211065
1753142400000,2025-07-22,MKRUSDT,2095.0,2165.8,1982.8,2078.8,11268.6088,23217978.08593,298362
1753056000000,2025-07-21,MKRUSDT,2016.2,2134.2,1983.7,2094.7,8582.3609,17773372.66451,195915
